Pessoa;Idade
Pessoa 1;30
Pessoa 1;30
Pessoa 1;32
Pessoa 1;32
Pessoa 1;35
Pessoa 1;35
Pessoa 1;35
Pessoa 1;37
Pessoa 1;37
Pessoa 1;38
Pessoa 1;38
Pessoa 1;39
Pessoa 1;39
Pessoa 1;39
Pessoa 1;40
Pessoa 1;40
Pessoa 1;40
Pessoa 1;40
Pessoa 1;40
Pessoa 1;40
Pessoa 1;41
Pessoa 1;41
Pessoa 1;41
Pessoa 1;42
Pessoa 1;42
Pessoa 1;43
Pessoa 1;43
Pessoa 1;43
Pessoa 1;44
Pessoa 1;44
Pessoa 1;45
Pessoa 1;45
Pessoa 1;45
Pessoa 1;45
Pessoa 1;45
Pessoa 1;46
Pessoa 1;46
Pessoa 1;46
Pessoa 1;46
Pessoa 1;47
Pessoa 1;47
Pessoa 1;48
Pessoa 1;48
Pessoa 1;48
Pessoa 1;48
Pessoa 1;49
Pessoa 1;49
Pessoa 1;49
Pessoa 1;49
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;50
Pessoa 1;51
Pessoa 1;51
Pessoa 1;52
Pessoa 1;52
Pessoa 1;52
Pessoa 1;52
Pessoa 1;52
Pessoa 1;52
Pessoa 1;53
Pessoa 1;54
Pessoa 1;54
Pessoa 1;54
Pessoa 1;54
Pessoa 1;55
Pessoa 1;55
Pessoa 1;55
Pessoa 1;55
Pessoa 1;55
Pessoa 1;55
Pessoa 1;56
Pessoa 1;56
Pessoa 1;56
Pessoa 1;57
Pessoa 1;57
Pessoa 1;57
Pessoa 1;57
Pessoa 1;58
Pessoa 1;58
Pessoa 1;58
Pessoa 1;58
Pessoa 1;59
Pessoa 1;59
Pessoa 1;59
Pessoa 1;60
Pessoa 1;60
Pessoa 1;63
Pessoa 1;66
Pessoa 1;68
Pessoa 1;68
Pessoa 1;68
Pessoa 1;70
