Indicação de data e hora,RA,"Dentre os 20 pontos amostrados, quantos estavam sobre a água?","Dentre os 50 pontos amostrados, quantos estavam sobre a água?",Cole aqui o link do mapa gerado com 20 pontos,Cole aqui o link do mapa gerado com 50 pontos
26/02/2015 15:05:55,304121,17,43,http://www.geomidpoint.com/random/viewmap.html?0|38.00418395|-38.92047121|-20.51292567|19.76714242|-18.63385338|20.51971533|-4.02405252|-13.90880418|-6.42618142|-1.61813682|-41.40834953|2.69531172|-18.94481031|-48.00820764|-6.68762949|-3.6045163|1.55242576|-20.42816449|-23.25537752|-20.26334344&0|-63.05168527|-170.78871794|-122.97716271|-129.64452041|-101.97009773|159.28446591|-134.38123928|-1.2789388|-125.38708053|120.0997312|47.35397734|53.33982992|48.16075995|72.24135816|84.48459839|35.00288184|46.71385695|-92.83372912|-32.38265322|140.66588667&1,http://www.geomidpoint.com/random/viewmap.html?0|45.33309033|-36.34948548|-0.14049836|5.25669725|-47.03206434|25.64217409|65.76482067|79.89998808|-52.31081629|13.66232035|-10.61628245|7.37657881|-53.94011644|9.89520781|-52.40905343|71.16294367|-10.51887612|-56.67984544|33.50254152|-12.07702842|-64.92229297|-34.81264598|22.08197053|-20.85234902|44.89319113|38.5209593|0.01293851|44.33231757|2.51305959|4.89128601|-40.5803266|-21.58181802|-7.62089572|-55.29136822|-5.09215462|13.44645274|-6.13627836|-0.34293176|-45.31432297|-20.79956922|-45.4383487|-8.98122025|-37.22500078|1.96649492|40.61119458|-43.6367004|36.93775259|39.1212382|56.33141366|-24.42026301&0|-5.80276828|40.95371125|147.92990586|157.40707424|-19.96134454|-83.22154785|109.19832433|-48.81905442|-77.7903031|-124.75569993|-26.87994574|94.79963408|-173.92548825|137.14303878|16.91516228|-114.00384858|175.51074438|18.63442931|-139.16805842|31.19423531|133.67388664|77.04159642|175.42748207|-133.93995706|42.32090622|-47.21389456|-112.14822419|-43.28517624|-1.74012786|147.03421353|-163.31493125|50.42513176|-1.1588538|-40.22335379|11.22763278|-150.25715162|78.03062054|-91.89331995|-57.25084058|-31.03288265|13.74208066|68.08993983|-92.28211445|32.92304842|-42.63077435|-74.28229789|66.59893995|132.80275986|0.20505535|111.12627529&1
04/05/2015 14:47:58,177830,12,32,http://www.geomidpoint.com/random/viewmap.html?0|36.91963382|53.34864826|3.89962749|28.86310141|-15.81803185|79.73614766|57.54853204|-47.35319689|-44.1793547|-17.25468838|62.87374639|51.51116558|-42.18379835|33.38089294|-44.39788612|-28.65257962|3.15005625|24.86658503|38.34470263|37.72188799&0|-35.91590904|114.03741306|122.48363121|4.74650486|95.69402051|133.37294811|-134.39314473|-27.02635972|-71.1177979|70.34557445|-97.21236411|130.3807904|161.68554733|-58.28698167|81.82795023|115.94674886|-87.22237303|-96.00488742|-164.57703532|93.51306591&1, http://www.geomidpoint.com/random/viewmap.html?0|18.54863149|29.26991425|60.2839831|3.83365562|-1.09850477|-81.6985159|32.38715198|-7.7512655|52.72021499|-45.92069617|85.23192709|-38.62183267|0.80236288|-18.74612079|-33.52724335|-20.16491405|-58.70057661|-4.62770724|-6.82730911|-11.08695025|-61.35112532|35.17707238|-5.88665665|-28.68797776|30.95593089|31.09347368|20.69043525|-68.01631555|-76.20436372|29.99313144|-43.94195367|-4.62355049|-17.91955249|-38.7671954|41.98022602|-60.38153207|-78.16214964|-38.288279|-42.66161623|-80.2415191|-13.91083475|63.59927231|-47.31642602|-39.66899636|65.30406736|30.15839184|-35.41782|-12.81831862|-19.45165753|25.60934723&0|111.24078516|153.91933796|155.09147672|-166.30237538|-7.54910209|-110.99492165|-104.87935498|-23.24582546|29.14522344|156.60040438|138.69816669|137.41058088|-71.52086814|-167.25909999|-120.50282856|-84.22660988|148.61867033|-37.117352|-133.52815726|37.10364158|98.32011306|-136.72522684|-33.67794896|143.20982605|-41.6678166|141.97408827|56.687204|38.43773421|-50.87916076|40.25373132|54.25975004|85.16847794|-132.9068047|97.17818502|19.19883688|-41.43302855|160.71251465|-141.13711522|5.25589568|-142.15680506|-112.16051462|176.03263494|124.11228191|155.80199708|167.27427861|-154.6667905|119.75482451|166.11395809|-9.88023988|120.93608796&1
04/05/2015 14:48:24,167011,14,31,http://www.geomidpoint.com/random/viewmap.html?0|33.27523387|23.64652456|15.96360638|4.43378347|-55.37105113|16.7156235|-1.98964606|-26.74345532|21.32102525|29.46377082|-7.00934783|-28.61902377|62.45948878|41.14255616|-2.39737101|-33.51654886|-16.27088835|3.53336354|-0.48633614|-4.1288402&0|-34.43616314|176.87377|116.32961378|176.28094546|-34.92566341|84.47113074|101.00193097|-155.54836592|75.20999205|102.03215158|-81.76054756|-119.83918263|-47.36692593|-178.23659069|-176.13655138|17.3393567|-88.99213002|86.16411176|-49.99539544|105.7869138&1,http://www.geomidpoint.com/random/viewmap.html?0|54.43387397|57.00771713|39.51669105|-5.88102193|-4.45331573|-35.1307247|-46.9681689|2.31411026|2.23245084|30.45079477|39.1027335|-11.78336846|-32.90240986|43.27567404|-33.94729339|-7.92116115|-25.33544481|45.72048202|17.66992006|-9.59833297|-48.67894881|-1.78706881|25.57202066|-42.07064027|-26.40484485|-53.25471982|11.28881154|39.78271768|-63.2221332|-39.92225431|46.14157862|-12.70088498|-25.98050965|-27.32788335|25.67759797|33.9174711|-14.39919467|-48.19101344|-23.00267152|39.1836104|-12.27319331|12.51565344|30.52257344|34.12058329|25.67380009|-22.14598525|-10.17496534|-1.37472409|34.09367019|-30.17601856&0|36.2102545|-160.32064852|58.35241438|-155.03875615|92.52019586|129.96162612|139.15190638|35.93083022|-170.66423185|-59.8259525|-54.61218336|-149.99781289|83.30335826|69.48923305|32.25282062|-81.89984696|127.3865459|-132.99252119|-38.76872301|-128.14934324|130.64617545|33.88971381|157.28606299|-65.85532272|-56.41804342|39.53278438|133.4790516|-15.95659004|177.69328281|167.87251791|53.33399842|-72.07751264|-41.79941451|156.29941322|-2.31394708|-98.6386133|-72.21372267|-103.56388796|105.71244988|86.18541394|-150.89682841|131.1574829|145.29382949|179.02553497|10.34845777|-49.32611686|3.29696626|5.23728538|-3.03481751|134.74595078&1
04/05/2015 14:49:06,165439,11,13,http://www.geomidpoint.com/random/viewmap.html?0|11.85398845|51.52377345|6.99833217|-32.54668019|-58.16919683|39.98568807|11.93312302|33.57283021|20.06314962|24.25106128|30.51250135|49.39202549|-75.28481368|-84.38172565|19.63097848|66.44002207|12.95112191|-20.84192585|25.97648904|7.06519009&0|-88.49055152|-57.81046099|-163.46128821|167.10099159|-110.77659158|-31.78931977|-104.14595414|73.25649218|-67.64907252|101.80085015|165.20288004|-111.96647986|58.40808608|16.21237902|44.88624321|-69.37964541|34.71411493|172.27471507|-20.62138401|-125.71559867&1,http://www.geomidpoint.com/random/viewmap.html?0|6.71675066|-82.10184472|57.08919343|-63.00802283|18.71994081|14.22301844|-11.76517227|52.11100994|35.77041278|15.97833123|66.41095693|4.412148|17.9523861|-54.57707879|-62.89424407|42.3630243|-12.07822418|-31.56973202|-20.15318203|15.98631879|34.15389801|-58.71149934|-18.74006801|0.43507755|34.16782101|22.18701344|-12.80639641|52.48952205|2.99715775|-15.79434977|21.14635103|17.10435224|-10.65548828|-35.44203682|1.25496419|23.74447667|85.40865481|-57.48262293|-53.15376498|10.77942605|-5.31981573|73.96845898|72.10672547|-2.67218613|2.7338572|-9.46491941|46.08403152|48.82661155|-8.98279355|-54.20449026&0|-27.14201809|38.93210716|-109.94496207|-179.49207313|-38.70191742|-106.36929747|-97.32832561|-125.74041476|-105.06943586|131.22971725|142.91753516|137.55281683|-147.46086649|-31.74202356|-49.74003863|-113.52500638|84.10291233|107.77287295|-12.3462079|114.51709002|-56.79884641|-100.9379839|133.64614554|-96.62399366|74.23232956|110.68325734|-174.46595822|-115.56457056|169.54597071|-78.94643083|-70.94274102|-31.01628247|-66.11494362|-34.0074757|-0.71191089|67.64290645|133.65827785|109.6373278|-91.59661852|126.5351327|11.1559823|-88.20643364|8.26106517|-162.65709669|-32.93971731|114.31993197|-166.54014229|83.65488844|-68.37838488|-5.14785971&1
04/05/2015 14:50:23,163407,17,36,http://www.geomidpoint.com/random/viewmap.html?0|-26.25608128|-54.96641276|53.57952119|-13.70268349|25.98703215|-26.47067334|80.17170236|-53.34449281|-9.24974267|-80.11463623|-14.85505025|36.07279805|2.81988911|36.72134538|-1.33589134|-49.7157247|28.89504252|-33.37589568|-65.08637723|-26.20684096&0|-92.13043981|156.13023324|158.04243411|-85.72902597|-61.77683133|82.3250857|170.79240228|-124.54287639|-163.91693798|106.99895982|38.09360917|111.63976344|-17.77735025|-75.5734409|123.91021201|56.86099837|-153.66987329|111.2971045|-134.90213147|-45.91353505&1,http://www.geomidpoint.com/random/viewmap.html?0|55.24881298|-39.22981107|-2.86226941|-37.09916701|51.26937987|-24.8472944|66.64551646|-31.43985223|-16.8762791|25.85253934|-42.87389762|55.5601459|46.84581061|16.47772117|39.93943575|-43.69490651|-23.52001147|45.89962792|-22.73285931|-52.33682852|-1.16935875|-26.41930526|-35.03283928|32.83978883|18.19049559|27.67594095|25.47875057|-17.74432416|37.02497641|-12.8195519|74.47752073|56.62893359|-47.2917449|-38.61867377|81.37692389|41.46964598|6.93331412|4.75186088|54.92259731|-46.80206324|-51.38363207|-21.59065482|7.73239521|-51.29518427|50.2421979|23.27883458|-37.93528118|70.10427838|64.61385015|-42.91041418&0|88.12717842|119.93347521|139.48698489|11.98882511|167.99700645|56.04214917|70.4321411|-142.1069815|-99.98496252|33.29627076|63.12463415|-103.51980716|106.0231288|128.8389362|15.86009742|23.17069295|168.06620917|-54.79205129|-34.99498269|-136.1506262|-29.99034062|66.16422787|34.97432453|51.97397659|-119.79639103|-57.98701853|157.80338181|100.68124567|157.03902912|123.06093827|-45.60335677|177.46814961|102.4809779|-49.34170342|118.89046747|-123.55706567|105.18592196|130.2035285|104.07741025|-144.88202409|3.5490662|28.65798584|168.0449054|149.38552761|16.14822659|-71.33592524|-131.77037958|57.28706702|-16.8004|-179.29181911&1
04/05/2015 14:50:50,175416,12,38,http://www.geomidpoint.com/random/viewmap.html?0|53.06932262|23.71624569|76.64431545|19.12398559|-38.64855203|7.08393845|-19.10881445|11.44904376|7.12053727|0.98729186|-19.51227719|21.67670111|-42.70444309|-38.3519878|36.00080296|0.03365287|28.68489835|-60.84561685|2.50748593|-50.96653693&0|-3.60022934|115.62827095|22.7774021|-36.2718382|-112.42197219|34.45462014|-140.27812774|32.47582685|-61.39175397|35.52592611|56.47015999|-139.26359368|-97.20971215|-66.53111738|-25.08646435|-45.21623362|-123.41969143|-147.68010575|-137.75038822|42.51840037&1,http://www.geomidpoint.com/random/viewmap.html?0|-16.43651175|11.20749198|-18.65785006|-68.15589953|13.1035823|-16.11572244|-60.33470037|-38.54129672|-28.37607102|7.8133514|-25.63550175|-63.94730534|11.87247515|-35.04096256|-30.17636935|-72.98376094|5.51958395|56.06912417|39.04554512|4.28314918|70.6647478|-7.03077002|-11.33493896|3.51699522|-5.0983743|31.06520033|-4.77489129|-72.07636242|-27.37921582|70.92424988|-36.18327657|-56.33497509|-55.60099327|36.78324038|1.88673727|10.75890244|-22.49804374|57.34906086|67.80614785|-27.28020176|-27.20038923|53.30949958|-64.27494611|-44.8827762|22.65830737|24.08638226|-54.85825908|-59.33481064|-17.49022659|-3.41359186&0|-136.99955023|8.67032909|35.79752187|152.5032957|177.67214011|-122.10416574|-48.22529013|97.78711014|-132.3241199|-144.99514645|-91.04061102|-62.46526322|-121.31922412|167.25990337|-172.84570456|94.18188269|-19.94119798|-104.03979103|-113.79346577|-108.45403102|-108.00848417|-121.8673847|-109.06151085|149.22799207|-79.68289293|-160.42927562|124.83827079|95.01680989|85.36589055|-164.28714486|45.64585289|170.83485063|156.94769839|-62.8280468|-144.63544567|-143.22268828|89.06664911|92.23019193|25.33818809|-141.87239046|-112.04662466|-172.29894449|-54.34954048|178.21148944|60.39585041|-14.6636138|36.19371184|118.62157486|-157.51614914|154.39507402&1
04/05/2015 14:51:49,173461,14,39,http://www.geomidpoint.com/random/viewmap.html?0|3.88758652|56.74772683|26.46566448|47.94028204|-54.83461646|9.61557261|-50.6096783|2.39251657|30.26207339|-35.98285717|57.82196737|-39.83242299|11.30209881|63.0900647|-39.68720558|31.54016303|25.68855275|12.87599363|22.62688689|-29.11173435&0|-126.25236397|143.46612326|-161.0112939|-168.87833813|-103.95850326|-0.47112238|157.54665524|36.92352847|-2.71123916|-142.50140547|16.55015389|131.96832606|166.90246269|138.57286913|-141.49283937|0.47530959|94.65589746|-72.53809397|-84.62580026|51.85473873&1,http://www.geomidpoint.com/random/viewmap.html?0|8.04550023|56.0366426|-51.36992826|-73.74278229|-50.93802668|37.32406506|4.76147946|1.21927139|33.14731131|10.54258037|42.35739263|-83.04262653|19.19095893|-5.32399365|-33.54916512|-22.4694268|-48.16488241|47.49912669|-64.15459864|14.3142564|12.01828928|-9.80009829|58.39097087|1.92958932|45.86256491|45.9992894|-28.36628724|56.8028315|-75.61474873|-43.72135543|-9.3750747|-26.23902843|21.89645229|-17.04998562|-20.70495927|-20.39760107|56.69734204|-46.61210731|34.15422007|38.83662137|4.08835514|4.01070054|-58.59253387|-65.0476012|-5.7645277|-8.7420428|-38.03609008|43.77861451|-7.07146955|-29.28197045&0|53.63435952|166.4505112|17.01932384|-137.06345343|-151.88596274|21.76530041|-136.00378755|163.95930201|-26.92102411|87.27229197|-165.83384398|108.09993937|-105.72651247|-68.48939075|178.15154321|125.5056312|-108.34780446|-10.92597686|86.91329907|-32.03281559|-162.66354072|122.7155315|167.39318051|48.57144833|92.83228536|141.88428508|-91.67472793|-66.76643457|-103.01474854|-143.75626821|8.77073718|38.99252297|-73.78200976|-154.4586175|94.08842038|7.01176612|-123.33199042|-120.02316905|-7.03351575|87.57696097|-51.21022337|118.38549769|56.59407644|45.77850927|-60.84760017|-45.98334362|-149.17904797|171.29132075|123.68826491|49.57616601&1
04/05/2015 14:51:50,170396,16,37,http://www.geomidpoint.com/random/viewmap.html?0|8.82074566|-21.33974512|1.3848913|42.98786001|25.70257145|-30.82326296|-11.93987672|-49.06152192|-48.39000265|-38.97322511|-29.77012659|76.66623774|29.32281705|-56.21290257|71.49306765|19.97577303|21.77385756|-55.50892792|-10.26770279|54.07915777&0|-97.41677647|21.8860875|78.10424693|110.70323417|146.39217855|121.59865981|-6.00952625|-15.80940599|176.69809305|61.88516407|-94.6236607|-20.37732662|130.51291926|-166.88562818|-59.41445421|-138.30656976|-120.97616343|-123.33851686|-82.48485238|148.88788848&1,http://www.geomidpoint.com/random/viewmap.html?0|26.921223|50.53014283|-22.99522792|27.36684642|60.0072591|7.88275871|-23.01969967|64.45714824|-2.35936094|13.34031657|42.32779916|-63.47944567|-56.62573627|21.39708343|-18.04873136|11.81741567|13.88913622|-42.5136812|-51.25049569|-10.62361413|47.9804539|-43.58601566|-11.57026021|-26.86474308|-56.23416429|56.06650504|14.84092041|-29.21857664|57.43820657|0.10864903|-45.93812904|16.18344637|57.32377361|69.27019431|6.29333767|6.69474532|26.48726988|-30.47694287|-12.06301937|5.12756003|53.07317745|47.35614715|-80.09633009|64.36047444|38.32187162|-21.89098652|-66.11502342|31.77600022|18.96987876|-31.31242656&0|-76.94986614|-26.66524199|15.34544728|-173.27217736|76.01569422|-38.70006282|-143.47516867|107.3642287|-175.20309976|-33.81086196|55.10392625|-121.32476641|-86.22686106|-116.94030824|-152.43783461|3.11211805|-91.20503265|6.09059537|-60.80402854|-112.07934521|62.7387875|-130.90393873|119.26448284|20.50733824|-162.99477735|-42.50511981|94.71944251|135.10223676|-91.7226737|127.23783718|170.45341729|94.7062304|-69.5313256|-36.13035244|128.23018231|-81.71584691|-61.37807272|11.71729363|-86.42773707|-36.35379264|-116.47941839|-146.69105762|124.77714576|-37.66043073|66.77638796|58.96482031|-150.99990049|138.22306427|57.1816242|69.06764059&1
04/05/2015 14:51:57,177822,11,35,http://www.geomidpoint.com/random/viewmap.html?0|-19.38351217|3.78285348|38.5280069|-9.33847128|55.20486185|40.83751109|55.9190532|31.58817289|2.45498614|-11.01148126|-0.8360918|-39.534528|-76.13838412|-79.03682966|21.91767131|-4.00300068|-13.40309469|11.51248342|-32.27392432|-4.16710417&0|35.10105022|40.48305496|-36.44585696|104.75198418|-165.12627254|82.37592892|86.15488964|177.7153907|156.44761722|-0.65000201|-174.85303146|131.27332051|59.39830448|-116.63140059|17.09506036|96.18880215|17.93211736|63.55663227|-123.28046104|152.84732098&1,http://www.geomidpoint.com/random/viewmap.html?0|15.47316908|-23.42747815|5.01538641|-50.5407389|39.18955263|30.98404189|-51.66142183|12.61463204|13.22923149|70.58048004|6.37094211|21.86669941|-10.80011043|-45.09843073|-32.33573036|52.33655562|-13.35992523|-3.20798155|-30.44416112|4.42256896|-60.13192865|20.46026937|-11.01042965|-13.69378004|-50.34980938|-5.95077657|21.45541961|-11.07896198|3.61386248|-62.4554479|-25.19857592|54.10172396|36.84007844|-62.05668937|31.57964261|30.53540817|-32.62299675|-9.47037194|16.34175516|-43.61954647|-2.87629696|-23.93745625|-35.12679864|70.52657698|-62.80454584|-62.61036897|-21.67118215|0.5360825|47.0772096|24.09479821&0|45.72009887|105.63548244|-150.37721812|147.87949|-0.20637967|-21.24940679|89.20269766|-35.35247182|84.03627465|114.10563861|-85.1272403|100.65624975|33.87114711|-115.00384475|-144.05536268|-106.34207763|-106.72805897|164.90174242|129.88970513|49.93880484|66.92465287|-60.98173888|-115.69448278|53.89929472|145.51114061|4.36218462|-136.67640408|-57.28511025|-79.96214381|61.89990586|-107.49060212|-58.20465561|-68.43108967|-88.12050198|139.73304611|-130.94850002|31.80499494|-69.9448986|10.57347262|-87.48698703|-97.0996524|76.49788049|-97.1966473|109.45674552|-75.30344768|-152.76499622|45.68579827|34.1777287|116.81100134|-149.35333665&1
04/05/2015 14:52:20,165439,11,37,http://www.geomidpoint.com/random/viewmap.html?0|11.85398845|51.52377345|6.99833217|-32.54668019|-58.16919683|39.98568807|11.93312302|33.57283021|20.06314962|24.25106128|30.51250135|49.39202549|-75.28481368|-84.38172565|19.63097848|66.44002207|12.95112191|-20.84192585|25.97648904|7.06519009&0|-88.49055152|-57.81046099|-163.46128821|167.10099159|-110.77659158|-31.78931977|-104.14595414|73.25649218|-67.64907252|101.80085015|165.20288004|-111.96647986|58.40808608|16.21237902|44.88624321|-69.37964541|34.71411493|172.27471507|-20.62138401|-125.71559867&1,http://www.geomidpoint.com/random/viewmap.html?0|6.71675066|-82.10184472|57.08919343|-63.00802283|18.71994081|14.22301844|-11.76517227|52.11100994|35.77041278|15.97833123|66.41095693|4.412148|17.9523861|-54.57707879|-62.89424407|42.3630243|-12.07822418|-31.56973202|-20.15318203|15.98631879|34.15389801|-58.71149934|-18.74006801|0.43507755|34.16782101|22.18701344|-12.80639641|52.48952205|2.99715775|-15.79434977|21.14635103|17.10435224|-10.65548828|-35.44203682|1.25496419|23.74447667|85.40865481|-57.48262293|-53.15376498|10.77942605|-5.31981573|73.96845898|72.10672547|-2.67218613|2.7338572|-9.46491941|46.08403152|48.82661155|-8.98279355|-54.20449026&0|-27.14201809|38.93210716|-109.94496207|-179.49207313|-38.70191742|-106.36929747|-97.32832561|-125.74041476|-105.06943586|131.22971725|142.91753516|137.55281683|-147.46086649|-31.74202356|-49.74003863|-113.52500638|84.10291233|107.77287295|-12.3462079|114.51709002|-56.79884641|-100.9379839|133.64614554|-96.62399366|74.23232956|110.68325734|-174.46595822|-115.56457056|169.54597071|-78.94643083|-70.94274102|-31.01628247|-66.11494362|-34.0074757|-0.71191089|67.64290645|133.65827785|109.6373278|-91.59661852|126.5351327|11.1559823|-88.20643364|8.26106517|-162.65709669|-32.93971731|114.31993197|-166.54014229|83.65488844|-68.37838488|-5.14785971&1
