country,answer,proportion,n
Argentina,Brasil,0.39,1010
Australia,Brasil,0.15,1004
Brasil,Espanha,0.32,1009
Chile,Brasil,0.36,1006
Colombia,Brasil,0.38,1007
Costa Rica,Espanha,0.28,518
Inglaterra,Brasil,0.18,1888
França,Brasil,0.17,1020
Alemanha,Brasil,0.24,1061
Grécia,Brasil,0.29,1001
Itália,Brasil,0.28,1007
Japão,Espanha,0.11,1003
México,Brasil,0.36,1004
Holanda,Brasil,0.2,1002
Portugal,Brasil,0.31,1011
Rússia,Brasil,0.25,1011
Coréia do Sul,Brasil,0.3,1014
Espanha,Brasil,0.34,1007
EUA,Brasil,0.09,1197
