country,answer,proportion,n
Argentina,Argentina,0.47,1010
Australia,Brasil,0.23,1004
Brasil,Brasil,0.64,1009
Chile,Brasil,0.46,1006
Colombia,Brasil,0.4,1007
Costa Rica,Brasil,0.39,518
Inglaterra,Brasil,0.26,1888
França,Brasil,0.3,1020
Alemanha,Brasil,0.29,1061
Grécia,Brasil,0.37,1001
Itália,Brasil,0.35,1007
Japão,Brasil,0.39,1003
México,Brasil,0.5,1004
Holanda,Brasil,0.31,1002
Portugal,Brasil,0.37,1011
Rússia,Brasil,0.27,1011
Coréia do Sul,Brasil,0.56,1014
Espanha,Espanha,0.47,1007
EUA,EUA,0.14,1197
