country,answer,proportion,n
Argentina,Inglaterra,0.19,1010
Australia,EUA,0.05,1004
Brasil,Argentina,0.34,1009
Chile,Argentina,0.2,1006
Colombia,Argentina,0.14,1007
Costa Rica,México,0.37,518
Inglaterra,Rússia,0.05,1888
França,Algéria,0.07,1020
Alemanha,Irã,0.15,1061
Grécia,Alemanha,0.1,1001
Itália,EUA,0.07,1007
Japão,Coréia do Sul,0.4,1003
México,EUA,0.16,1004
Holanda,Irã,0.13,1002
Portugal,França,0.09,1011
Rússia,EUA,0.19,1011
Coréia do Sul,Japão,0.38,1014
Espanha,Irã,0.07,1007
EUA,EUA,0.05,1197
